( BUD POWELL IN PARIS 1963 ,  BUD POWELL  ,  REPRISE vogue FRANCE ,  RV6025 ,   stock level:  ,  1 ,   number sold today:  ,  1 )
( THE GOLDEN YEARS VOLUME 1- 1933-37 ,  BILLIE HOLIDAY  ,  CBS ,  BPG62037 ,   stock level:  ,  1 ,   number sold today:  ,  1 )
( ALONE IN SAN FRANCOSCO ,  THELONIOUS MONK  ,  RIVERSIDE ,  OJC1231 ,   stock level:  ,  1 ,   number sold today:  ,  1 )
